uid,username,email,password,date_created
5432,user1,user1@example.com,password1,28/7/2024
4321,user2,user2@example.com,password2,28/7/2024
6789,user3,user3@example.com,password3,28/7/2024
9876,user4,user4@example.com,password4,28/7/2024
1234,user5,user5@example.com,password5,28/7/2024
3456,user6,user6@example.com,password6,28/7/2024
5678,user7,user7@example.com,password7,28/7/2024
8765,user8,user8@example.com,password8,28/7/2024
2345,user9,user9@example.com,password9,28/7/2024
4567,user10,user10@example.com,password10,28/7/2024
7654,user11,user11@example.com,password11,28/7/2024
6543,user12,user12@example.com,password12,28/7/2024
9877,user13,user13@example.com,password13,28/7/2024
8766,user14,user14@example.com,password14,28/7/2024
5433,user15,user15@example.com,password15,28/7/2024
4322,user16,user16@example.com,password16,28/7/2024
6790,user17,user17@example.com,password17,28/7/2024
9878,user18,user18@example.com,password18,28/7/2024
1235,user19,user19@example.com,password19,28/7/2024
3457,user20,user20@example.com,password20,28/7/2024
